"US general imports, monthly, HS10 line items. Source: US Census Bureau international trade API (api.census.gov), pulled 2026-09. Unit value = customs value / quantity. Customs value excludes duty, freight and insurance.",,,,,,,,,,,
month,hts10,commodity,group,census_description,customs_value_usd,quantity,unit,unit_value_usd_per_unit,china_value_usd,china_quantity,china_share_of_value_pct
2026-05,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1882094,28450,KG,66.1544,,,
2026-06,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,1782325,28417,KG,62.7204,,,
2026-07,8105203000,cobalt alloys (unwrought),control (never restricted),UNWROUGHT COBALT ALLOYS,2664747,36397,KG,73.2134,,,
2023-01,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,8618789,275692,KG,31.2624,,,
2023-02,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,9651624,326257,KG,29.5829,,,
2023-03,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,10701541,350993,KG,30.4893,,,
2023-04,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,9156939,311950,KG,29.3539,,,
2023-05,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,7958718,209531,KG,37.9835,,,
2023-06,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,10193179,217990,KG,46.7598,,,
2023-07,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,4409155,155275,KG,28.3958,,,
2023-08,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,4347953,163537,KG,26.587,,,
2023-09,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6433497,235169,KG,27.3569,,,
2023-10,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,7594446,283404,KG,26.7972,,,
2023-11,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,10128589,280472,KG,36.1127,,,
2023-12,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,7670466,258065,KG,29.723,,,
2024-01,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6211113,224341,KG,27.686,,,
2024-02,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6294761,202268,KG,31.1209,,,
2024-03,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,8408162,190525,KG,44.1315,,,
2024-04,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6738927,266826,KG,25.2559,,,
2024-05,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,8598209,216323,KG,39.7471,,,
2024-06,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,4810018,165910,KG,28.9917,,,
2024-07,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,7791202,242006,KG,32.1943,,,
2024-08,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,8018598,193676,KG,41.4021,,,
2024-09,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,5450158,162229,KG,33.5955,,,
2024-10,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,5885165,192182,KG,30.6229,,,
2024-11,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6721824,209895,KG,32.0247,,,
2024-12,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,5512797,179034,KG,30.7919,,,
2025-01,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,7026194,298024,KG,23.5759,,,
2025-02,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6326488,184641,KG,34.2637,,,
2025-03,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,8798625,293904,KG,29.9371,,,
2025-04,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,11322057,282678,KG,40.0528,,,
2025-05,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6185593,216424,KG,28.5809,,,
2025-06,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,5538823,72851,KG,76.0295,,,
2025-07,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,7546298,321572,KG,23.4669,,,
2025-08,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6557616,119594,KG,54.8323,,,
2025-09,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,4287941,154361,KG,27.7787,,,
2025-10,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,4986337,144144,KG,34.5927,,,
2025-11,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,4137939,184971,KG,22.3707,,,
2025-12,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,4285707,177987,KG,24.0788,,,
2026-01,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,5265294,197351,KG,26.6798,,,
2026-02,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,6490251,329562,KG,19.6936,,,
2026-03,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,9279803,405797,KG,22.8681,,,
2026-04,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,13468123,639928,KG,21.0463,,,
2026-05,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,11693664,528380,KG,22.1312,,,
2026-06,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,9192771,381233,KG,24.1133,,,
2026-07,7202920000,ferrovanadium,control (never restricted),FERROVANADIUM,10068730,454193,KG,22.1684,,,
2023-01,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,2364509,6531,T,362.0439,,,
2023-02,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,783268,2292,T,341.74,,,
2023-03,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,260606,670,T,388.9642,,,
2023-04,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,148876,899,T,165.6018,,,
2023-05,2529210000,fluorspar (<=97%),control (never restricted),FLUORSPAR CONTAINING BY WEIGHT 97 PERCENT OR LESS OF CALCIUM FLUORIDE,3800395,12086,T,314.4461,,,
