exam_id,cutoff,commodity,query,relevant_count,total_count,note,fetched_at
A,2023-07-02,sulfur,sulfur AND (mining OR supply OR production OR export OR smelter OR refinery),1442,6802947,ok,2026-08-07T00:05:20
A,2023-07-02,talc and pyrophyllite,talc AND (mining OR supply OR production OR export OR smelter OR refinery),216,6802947,ok,2026-08-07T00:05:51
A,2023-07-02,tantalum,tantalum AND (mining OR supply OR production OR export OR smelter OR refinery),272,6802947,ok,2026-08-07T00:06:17
A,2023-07-02,tellurium,tellurium AND (mining OR supply OR production OR export OR smelter OR refinery),64,6802947,ok,2026-08-07T00:06:50
A,2023-07-02,thallium,thallium AND (mining OR supply OR production OR export OR smelter OR refinery),21,6802947,ok,2026-08-07T00:07:20
A,2023-07-02,thorium,thorium AND (mining OR supply OR production OR export OR smelter OR refinery),107,6802947,ok,2026-08-07T00:07:52
A,2023-07-02,tin,tin AND (mining OR supply OR production OR export OR smelter OR refinery),1947,6802947,ok,2026-08-07T00:08:25
A,2023-07-02,titanium,titanium AND (mining OR supply OR production OR export OR smelter OR refinery),1852,6802947,ok,2026-08-07T00:08:35
A,2023-07-02,tungsten,tungsten AND (mining OR supply OR production OR export OR smelter OR refinery),390,6802947,ok,2026-08-07T00:09:47
A,2023-07-02,vanadium,vanadium AND (mining OR supply OR production OR export OR smelter OR refinery),343,6802947,ok,2026-08-07T00:10:05
A,2023-07-02,vermiculite,vermiculite AND (mining OR supply OR production OR export OR smelter OR refinery),34,6802947,ok,2026-08-07T00:10:38
A,2023-07-02,wollastonite,wollastonite AND (mining OR supply OR production OR export OR smelter OR refinery),6,6802947,ok,2026-08-07T00:10:52
A,2023-07-02,yttrium,yttrium AND (mining OR supply OR production OR export OR smelter OR refinery),73,6802947,ok,2026-08-07T00:11:42
A,2023-07-02,zeolites (natural),zeolites AND (mining OR supply OR production OR export OR smelter OR refinery),49,6802947,ok,2026-08-07T00:11:56
A,2023-07-02,zinc,zinc AND (mining OR supply OR production OR export OR smelter OR refinery),3028,6802947,ok,2026-08-07T00:12:52
A,2023-07-02,zirconium,zirconium AND (mining OR supply OR production OR export OR smelter OR refinery),139,6802947,ok,2026-08-07T00:13:03
B,2023-10-19,abrasives (manufactured),abrasives AND (mining OR supply OR production OR export OR smelter OR refinery),173,6722256,ok,2026-08-07T00:14:02
B,2023-10-19,aluminum,aluminum AND (mining OR supply OR production OR export OR smelter OR refinery),6683,6722256,ok,2026-08-07T00:14:18
B,2023-10-19,antimony,antimony AND (mining OR supply OR production OR export OR smelter OR refinery),220,6722256,ok,2026-08-07T00:14:44
B,2023-10-19,arsenic,arsenic AND (mining OR supply OR production OR export OR smelter OR refinery),726,6722256,ok,2026-08-07T00:15:24
B,2023-10-19,asbestos,asbestos AND (mining OR supply OR production OR export OR smelter OR refinery),571,6722256,ok,2026-08-07T00:15:38
B,2023-10-19,barite,barite AND (mining OR supply OR production OR export OR smelter OR refinery),56,6722256,ok,2026-08-07T00:16:21
B,2023-10-19,bauxite and alumina,bauxite AND (mining OR supply OR production OR export OR smelter OR refinery),319,6722256,ok,2026-08-07T00:16:43
B,2023-10-19,beryllium,beryllium AND (mining OR supply OR production OR export OR smelter OR refinery),99,6722256,ok,2026-08-07T00:17:21
B,2023-10-19,bismuth,bismuth AND (mining OR supply OR production OR export OR smelter OR refinery),98,6722256,ok,2026-08-07T00:17:39
B,2023-10-19,boron,boron AND (mining OR supply OR production OR export OR smelter OR refinery),398,6722256,ok,2026-08-07T00:18:28
B,2023-10-19,bromine,bromine AND (mining OR supply OR production OR export OR smelter OR refinery),202,6722256,ok,2026-08-07T00:18:46
B,2023-10-19,cadmium,cadmium AND (mining OR supply OR production OR export OR smelter OR refinery),525,6722256,ok,2026-08-07T00:19:26
B,2023-10-19,cement,cement AND (mining OR supply OR production OR export OR smelter OR refinery),5567,6722256,ok,2026-08-07T00:19:49
B,2023-10-19,cesium,cesium AND (mining OR supply OR production OR export OR smelter OR refinery),235,6722256,ok,2026-08-07T00:20:16
B,2023-10-19,chromium,chromium AND (mining OR supply OR production OR export OR smelter OR refinery),420,6722256,ok,2026-08-07T00:20:52
B,2023-10-19,clays,clays AND (mining OR supply OR production OR export OR smelter OR refinery),163,6722256,ok,2026-08-07T00:21:13
B,2023-10-19,cobalt,cobalt AND (mining OR supply OR production OR export OR smelter OR refinery),3847,6722256,ok,2026-08-07T00:21:47
B,2023-10-19,copper,copper AND (mining OR supply OR production OR export OR smelter OR refinery),10683,6722256,ok,2026-08-07T00:22:20
B,2023-10-19,diamond (industrial),"""industrial diamond"" AND (mining OR supply OR production OR export OR smelter OR refinery)",3,6722256,ok,2026-08-07T00:22:54
B,2023-10-19,diatomite,diatomite AND (mining OR supply OR production OR export OR smelter OR refinery),36,6722256,ok,2026-08-07T00:23:14
B,2023-10-19,feldspar,feldspar AND (mining OR supply OR production OR export OR smelter OR refinery),114,6722256,ok,2026-08-07T00:23:45
