"H2a final rankings, completed pool + corrected diamond (6 exams x 99 rows, per-row source flags).",,,,,,,,
exam_id,commodity,news_context,vis_lognorm,share_element,latent_lev_element,rank_lev_element,status,share_source_flag
B,terbium,117,0.4118,99,0.5824,12,,REE_element_file
B,thallium,21,0.2668,,,,no_share_data,v1
B,thorium,102,0.4,,,,no_share_data,v1
B,thulium,18,0.2541,99,0.7384,2,,REE_element_file
B,tin,1924,0.6527,30.6,0.1063,53,,v1
B,titanium,1986,0.6555,35.8,0.1233,51,,v1
B,tungsten,394,0.516,84.5,0.4089,22,,v1
B,vanadium,352,0.5063,70,0.3456,24,,v1
B,vermiculite,41,0.3226,8,0.0542,63,,filled_2026-08-15
B,wollastonite,3,0.1197,75,0.6603,7,,filled_2026-08-15
B,ytterbium,19,0.2586,99,0.734,3,,REE_element_file
B,yttrium,74,0.3726,99,0.6211,10,,REE_element_file
B,zeolites (natural),61,0.3562,5.2,0.0335,67,,filled_2026-08-15
B,zinc,3131,0.6947,32.3,0.0986,54,,v1
B,zirconium,147,0.4313,10,0.0569,62,,v1
C,abrasives (manufactured),168,0.4469,54.3,0.3003,28,,filled_2026-08-15
C,aluminum,5773,0.7546,58,0.1424,44,,v1
C,antimony,201,0.4625,54.5,0.293,29,,v1
C,arsenic,684,0.5688,39.3,0.1694,39,,v1
C,asbestos,619,0.5602,14,0.0616,60,,filled_2026-08-15
C,barite,54,0.3491,24.1,0.1569,40,,v1
C,bauxite and alumina,339,0.5078,58.6,0.2884,30,,filled_2026-08-15
C,beryllium,90,0.393,25,0.1518,42,,v1
C,bismuth,86,0.3891,80,0.4887,19,,v1
C,boron,414,0.5252,6,0.0285,67,,filled_2026-08-15
C,bromine,248,0.4807,25,0.1298,47,,filled_2026-08-15
C,cadmium,506,0.5426,41.7,0.1907,37,,v1
C,cement,5144,0.7445,51,0.1303,46,,filled_2026-08-15
C,cerium,71,0.3726,88,0.5521,15,,REE_element_file
C,cesium,240,0.4778,,,,no_share_data,v1
C,chromium,453,0.533,0,0,83,,v1
C,clays,146,0.4348,,,,no_share_data,v1
C,cobalt,3408,0.7087,1.2,0.0035,80,,v1
C,copper,10636,0.8078,8.6,0.0165,75,,v1
C,diamond (industrial),48,0.3391,95,0.6279,8,,diamond_term_corrected_2026-08-15
C,diatomite,42,0.3277,17,0.1143,51,,filled_2026-08-15
C,dysprosium,145,0.4342,99,0.5602,14,,REE_element_file
C,erbium,23,0.2769,99,0.7159,3,,REE_element_file
C,europium,23,0.2769,98,0.7087,4,,REE_element_file
C,feldspar,121,0.4185,8.6,0.05,63,,v1
C,fluorspar,24,0.2804,68.7,0.4943,18,,v1
C,gadolinium,58,0.3552,98,0.6319,7,,REE_element_file
C,gallium,596,0.5569,98.2,,,already_controlled,v1
C,garnet (industrial),181,0.4534,17,0.0929,54,,filled_2026-08-15
C,gemstones,430,0.5285,,,,no_share_data,v1
C,germanium,310,0.5001,65.4,,,already_controlled,v1
C,gold,31059,0.9011,10.6,0.0105,77,,v1
C,graphite (natural),1637,0.6448,65.4,,,already_controlled,v1
C,gypsum,360,0.513,15,0.073,56,,filled_2026-08-15
C,hafnium,13,0.2299,3,0.0231,70,,v1
C,helium,965,0.5988,0.6,0.0024,82,,v1
C,holmium,14,0.2359,99,0.7564,1,,REE_element_file
C,indium,168,0.4469,58.9,0.3258,27,,v1
C,iodine,358,0.5126,1,0.0049,79,,filled_2026-08-15
C,iron and steel,850,0.5877,54,0.2226,35,,filled_2026-08-15
C,iron and steel scrap,59,0.3567,,,,no_share_data,v1
C,iron and steel slag,31,0.3019,54,0.377,23,,filled_2026-08-15
C,iron ore,1919,0.6586,14.6,0.0498,64,,v1
C,iron oxide pigments,144,0.4336,,,,no_share_data,v1
C,kyanite,5,0.1561,15,0.1266,49,,filled_2026-08-15
C,lanthanum,58,0.3552,88,0.5674,13,,REE_element_file
C,lead,96612,1,44.4,0,84,,v1
C,lime,1720,0.6491,72,0.2526,33,,filled_2026-08-15
C,lithium,11279,0.8129,14.6,0.0273,68,,v1
C,lutetium,81,0.3839,99,0.6099,11,,REE_element_file
C,magnesium compounds,8,0.1914,63.8,0.5159,16,,filled_2026-08-15
C,magnesium metal,1193,0.6173,90,0.3445,25,,v1
C,manganese,1211,0.6186,5,0.0191,72,,v1
C,mercury,2858,0.6933,85,0.2607,32,,filled_2026-08-15
C,mica (natural),325,0.5042,25.6,0.1269,48,,v1
C,molybdenum,662,0.566,40,0.1736,38,,v1
C,neodymium,252,0.4821,90,0.4661,20,,REE_element_file
C,nickel,5559,0.7513,3.3,0.0082,78,,v1
C,niobium,190,0.4576,0,0,85,,v1
C,nitrogen (fixed)-ammonia,2026,0.6634,26,0.0875,55,,filled_2026-08-15
C,peat,591,0.5561,4,0.0178,74,,filled_2026-08-15
C,perlite,71,0.3726,10,0.0627,59,,filled_2026-08-15
C,phosphate rock,56,0.3522,38.6,0.25,34,,v1
C,platinum-group metals,3704,0.7159,1,0.0028,81,,filled_2026-08-15
C,potash,473,0.5368,15,0.0695,58,,v1
C,praseodymium,138,0.4299,90,0.5131,17,,REE_element_file
C,pumice and pumicite,378,0.5173,3,0.0145,76,,filled_2026-08-15
C,quartz crystal (industrial),20,0.2652,,,,no_share_data,v1
C,rhenium,73,0.375,4.3,0.0269,69,,v1
C,rubidium,70,0.3714,,,,no_share_data,v1
C,salt,9384,0.7969,22,0.0447,65,,filled_2026-08-15
C,samarium,42,0.3277,97,0.6522,6,,REE_element_file
C,sand and gravel,153,0.4388,,,,no_share_data,v1
C,scandium,84,0.387,68,0.4168,21,,filled_2026-08-15
C,selenium,253,0.4824,40.6,0.2101,36,,v1
C,silicon,9093,0.7941,68,0.14,45,,filled_2026-08-15
C,silver,14523,0.8349,13.8,0.0228,71,,v1
C,soda ash,103,0.4046,46,0.2739,31,,filled_2026-08-15
C,stone,12816,0.824,,,,no_share_data,v1
C,strontium,77,0.3796,23.5,0.1458,43,,v1
C,sulfur,1317,0.6259,19,0.0711,57,,filled_2026-08-15
C,talc and pyrophyllite,163,0.4443,28,0.1556,41,,filled_2026-08-15
C,tantalum,366,0.5145,3.9,0.0189,73,,v1
C,tellurium,51,0.3442,53.1,0.3482,24,,v1
C,terbium,110,0.4103,99,0.5838,12,,REE_element_file
C,thallium,24,0.2804,,,,no_share_data,v1
C,thorium,114,0.4134,,,,no_share_data,v1
C,thulium,16,0.2468,99,0.7456,2,,REE_element_file
C,tin,1833,0.6546,30.6,0.1057,52,,v1
C,titanium,1766,0.6514,35.8,0.1248,50,,v1
C,tungsten,382,0.5182,84.5,0.4071,22,,v1
C,vanadium,352,0.5111,70,0.3422,26,,v1
C,vermiculite,51,0.3442,8,0.0525,62,,filled_2026-08-15
C,wollastonite,6,0.1695,75,0.6229,9,,filled_2026-08-15
C,ytterbium,28,0.2934,99,0.6996,5,,REE_element_file
C,yttrium,72,0.3738,99,0.62,10,,REE_element_file
C,zeolites (natural),72,0.3738,5.2,0.0326,66,,filled_2026-08-15
C,zinc,2940,0.6958,32.3,0.0983,53,,v1
C,zirconium,128,0.4234,10,0.0577,61,,v1
D,abrasives (manufactured),107,0.4093,54.3,0.3207,28,,filled_2026-08-15
D,aluminum,5652,0.7554,58,0.1419,43,,v1
D,antimony,378,0.5191,54.5,,,already_controlled,v1
D,arsenic,683,0.5707,39.3,0.1687,38,,v1
D,asbestos,602,0.5597,14,0.0616,59,,filled_2026-08-15
D,barite,42,0.3288,24.1,0.1618,39,,v1
D,bauxite and alumina,349,0.5121,58.6,0.2859,29,,filled_2026-08-15
D,beryllium,76,0.3798,25,0.1551,40,,v1
D,bismuth,68,0.3702,80,0.5039,18,,v1
D,boron,331,0.5075,6,0.0295,66,,filled_2026-08-15
D,bromine,238,0.4788,25,0.1303,47,,filled_2026-08-15
D,cadmium,496,0.5428,41.7,0.1907,36,,v1
D,cement,4524,0.7359,51,0.1347,45,,filled_2026-08-15
D,cerium,46,0.3366,88,0.5838,13,,REE_element_file
D,cesium,207,0.4666,,,,no_share_data,v1
D,chromium,407,0.5255,0,0,82,,v1
D,clays,125,0.4228,,,,no_share_data,v1
D,cobalt,3056,0.7016,1.2,0.0036,79,,v1
D,copper,10283,0.8077,8.6,0.0165,74,,v1
D,diamond (industrial),43,0.3308,95,0.6357,8,,diamond_term_corrected_2026-08-15
D,diatomite,36,0.3157,17,0.1163,50,,filled_2026-08-15
D,dysprosium,130,0.4262,99,0.568,15,,REE_element_file
D,erbium,16,0.2477,99,0.7448,3,,REE_element_file
D,europium,18,0.2574,98,0.7277,4,,REE_element_file
D,feldspar,108,0.4101,8.6,0.0507,62,,v1
D,fluorspar,21,0.2702,68.7,0.5013,19,,v1
D,gadolinium,51,0.3454,98,0.6415,7,,REE_element_file
D,gallium,757,0.5797,98.2,,,already_controlled,v1
D,garnet (industrial),195,0.4614,17,0.0916,53,,filled_2026-08-15
D,gemstones,450,0.5343,,,,no_share_data,v1
D,germanium,501,0.5437,65.4,,,already_controlled,v1
D,gold,31621,0.9059,10.6,0.01,76,,v1
D,graphite (natural),1503,0.6396,65.4,,,already_controlled,v1
D,gypsum,344,0.5109,15,0.0734,55,,filled_2026-08-15
D,hafnium,13,0.2307,3,0.0231,69,,v1
D,helium,855,0.5903,0.6,0.0025,81,,v1
D,holmium,10,0.2096,99,0.7825,2,,REE_element_file
D,indium,139,0.432,58.9,0.3345,27,,v1
D,iodine,260,0.4865,1,0.0051,78,,filled_2026-08-15
D,iron and steel,1048,0.6081,54,0.2116,35,,filled_2026-08-15
D,iron and steel scrap,60,0.3594,,,,no_share_data,v1
D,iron and steel slag,34,0.3108,54,0.3722,23,,filled_2026-08-15
D,iron ore,1804,0.6556,14.6,0.0503,63,,v1
D,iron oxide pigments,136,0.4301,,,,no_share_data,v1
D,kyanite,3,0.1212,15,0.1318,46,,filled_2026-08-15
D,lanthanum,47,0.3384,88,0.5822,14,,REE_element_file
D,lead,92797,1,44.4,0,83,,v1
D,lime,1654,0.648,72,0.2535,33,,filled_2026-08-15
D,lithium,10193,0.8069,14.6,0.0282,67,,v1
D,lutetium,68,0.3702,99,0.6235,9,,REE_element_file
D,magnesium compounds,6,0.1701,63.8,0.5295,16,,filled_2026-08-15
D,magnesium metal,1121,0.614,90,0.3474,26,,v1
D,manganese,1054,0.6086,5,0.0196,71,,v1
D,mercury,2622,0.6882,85,0.265,32,,filled_2026-08-15
D,mica (natural),317,0.5038,25.6,0.127,48,,v1
D,molybdenum,622,0.5625,40,0.175,37,,v1
D,neodymium,256,0.4851,90,0.4634,20,,REE_element_file
D,nickel,5416,0.7516,3.3,0.0082,77,,v1
D,niobium,149,0.4381,0,0,84,,v1
D,nitrogen (fixed)-ammonia,1798,0.6553,26,0.0896,54,,filled_2026-08-15
D,peat,679,0.5702,4,0.0172,73,,filled_2026-08-15
D,perlite,55,0.3519,10,0.0648,58,,filled_2026-08-15
D,phosphate rock,33,0.3083,38.6,0.267,31,,v1
D,platinum-group metals,3760,0.7197,1,0.0028,80,,filled_2026-08-15
D,potash,419,0.5281,15,0.0708,57,,v1
D,praseodymium,121,0.42,90,0.522,17,,REE_element_file
D,pumice and pumicite,358,0.5144,3,0.0146,75,,filled_2026-08-15
D,quartz crystal (industrial),17,0.2527,,,,no_share_data,v1
D,rhenium,64,0.365,4.3,0.0273,68,,v1
D,rubidium,52,0.3471,,,,no_share_data,v1
D,salt,8471,0.7907,22,0.046,64,,filled_2026-08-15
D,samarium,37,0.318,97,0.6615,6,,REE_element_file
D,sand and gravel,144,0.4351,,,,no_share_data,v1
